"# IS-28B2 (IAR / ICA Brasov, two-seat) polar - sink rate vs airspeed"
"# Source: XCSoar PolarStore.cpp (github.com/XCSoar/XCSoar), quadratic fit through the 3 stored points"
"# Entry ""IS-28B2"": ref mass 590 kg, max ballast 0 l, wing area 18.24 m2, empty mass 375 kg, handicap 84"
"# Stored points: (100,-0.82) (160,-2.28) (200,-4.27) km/h vs m/s"
"# Solo column = same polar scaled to 480 kg: v,w x sqrt(480/590)"
# Sink rates negative = descending. Fit is only reliable between ~80 and 200 km/h.
v_kmh,v_ms,sink_ms_2up_590kg,LD_2up,sink_ms_solo_480kg,LD_solo
60,16.67,-0.863,19.31,-0.722,23.07
65,18.06,-0.813,22.2,-0.69,26.18
70,19.44,-0.776,25.05,-0.671,28.97
75,20.83,-0.752,27.71,-0.667,31.25
80,22.22,-0.74,30.03,-0.676,32.86
85,23.61,-0.741,31.87,-0.7,33.73
90,25.0,-0.755,33.13,-0.738,33.88
95,26.39,-0.781,33.79,-0.79,33.41
100,27.78,-0.82,33.88,-0.856,32.46
105,29.17,-0.872,33.46,-0.936,31.17
110,30.56,-0.936,32.64,-1.03,29.67
115,31.94,-1.013,31.52,-1.138,28.06
120,33.33,-1.103,30.21,-1.261,26.44
125,34.72,-1.206,28.79,-1.397,24.85
130,36.11,-1.321,27.33,-1.548,23.33
135,37.5,-1.449,25.88,-1.712,21.9
140,38.89,-1.59,24.46,-1.891,20.57
145,40.28,-1.743,23.1,-2.084,19.33
150,41.67,-1.91,21.82,-2.291,18.19
155,43.06,-2.088,20.62,-2.512,17.14
160,44.44,-2.28,19.49,-2.747,16.18
165,45.83,-2.484,18.45,-2.996,15.3
170,47.22,-2.701,17.48,-3.259,14.49
175,48.61,-2.931,16.59,-3.536,13.75
180,50.0,-3.173,15.76,-3.828,13.06
185,51.39,-3.428,14.99,-4.133,12.43
190,52.78,-3.696,14.28,-4.453,11.85
195,54.17,-3.977,13.62,-4.787,11.32
200,55.56,-4.27,13.01,-5.134,10.82
205,56.94,-4.576,12.44,-5.496,10.36
