# LS-8 (18m) polar - sink rate vs airspeed
"# Source: XCSoar PolarStore.cpp (github.com/XCSoar/XCSoar), quadratic fit through the 3 stored points"
"# Entry ""LS-8 (18m)"": ref mass 325 kg, max ballast 185 l, wing area 11.4 m2, empty mass 270 kg, handicap 114"
"# Stored points: (80,-0.51) (94,-0.56) (173,-2.00) km/h vs m/s"
"# Ballasted column = same polar scaled to 510 kg (325 + 185 l water): v,w x sqrt(510/325)"
# Sink rates negative = descending.
v_kmh,v_ms,sink_ms_dry_325kg,LD_dry,sink_ms_ballast_510kg,LD_ballast
70,19.44,-0.512,37.97,-0.712,27.29
75,20.83,-0.507,41.08,-0.684,30.44
80,22.22,-0.51,43.57,-0.663,33.53
85,23.61,-0.521,45.34,-0.647,36.48
90,25.0,-0.539,46.35,-0.638,39.18
95,26.39,-0.566,46.63,-0.635,41.55
100,27.78,-0.6,46.27,-0.639,43.5
105,29.17,-0.643,45.39,-0.648,44.99
110,30.56,-0.693,44.11,-0.664,46.0
115,31.94,-0.751,42.55,-0.687,46.53
120,33.33,-0.817,40.81,-0.715,46.61
125,34.72,-0.891,38.99,-0.75,46.3
130,36.11,-0.972,37.14,-0.791,45.64
135,37.5,-1.062,35.32,-0.839,44.72
140,38.89,-1.159,33.55,-0.892,43.58
145,40.28,-1.265,31.85,-0.952,42.29
150,41.67,-1.378,30.24,-1.019,40.9
155,43.06,-1.499,28.73,-1.091,39.46
160,44.44,-1.628,27.3,-1.17,37.98
165,45.83,-1.765,25.97,-1.255,36.51
170,47.22,-1.909,24.73,-1.347,35.06
175,48.61,-2.062,23.57,-1.445,33.65
180,50.0,-2.222,22.5,-1.549,32.29
185,51.39,-2.391,21.49,-1.659,30.98
190,52.78,-2.567,20.56,-1.776,29.72
195,54.17,-2.751,19.69,-1.899,28.53
200,55.56,-2.943,18.88,-2.028,27.4
205,56.94,-3.143,18.12,-2.163,26.32
210,58.33,-3.351,17.41,-2.305,25.31
215,59.72,-3.566,16.75,-2.453,24.35
220,61.11,-3.79,16.12,-2.608,23.44
225,62.5,-4.021,15.54,-2.768,22.58
230,63.89,-4.261,15.0,-2.935,21.77
