# Blanik L-13 polar - sink rate vs airspeed
"# Source: XCSoar PolarStore.cpp (github.com/XCSoar/XCSoar), quadratic fit through the 3 stored points"
"# Set A ""Blanik L13"": ref mass 472 kg, wing area 19.1 m2, points (85,-0.84) (143,-3.32) (200,-9.61)"
"# Set B ""Blanik L13-AC"" (factory flight-manual polar): ref mass 500 kg, wing area 17.44 m2, points (70,-0.85) (110,-1.25) (160,-3.20)"
# Sink rates negative = descending. Scale speed and sink by sqrt(m/m_ref) for other masses.
v_kmh,v_ms,sink_ms_L13_472kg,LD_L13,sink_ms_L13AC_500kg,LD_L13AC
60,16.67,-0.991,16.82,-0.911,18.29
65,18.06,-0.902,20.02,-0.873,20.69
70,19.44,-0.842,23.09,-0.85,22.88
75,20.83,-0.812,25.65,-0.844,24.7
80,22.22,-0.811,27.39,-0.853,26.04
85,23.61,-0.84,28.11,-0.879,26.86
90,25.0,-0.898,27.84,-0.921,27.14
95,26.39,-0.985,26.78,-0.979,26.95
100,27.78,-1.102,25.2,-1.053,26.37
105,29.17,-1.248,23.36,-1.144,25.5
110,30.56,-1.424,21.46,-1.25,24.44
115,31.94,-1.629,19.61,-1.372,23.27
120,33.33,-1.863,17.89,-1.511,22.06
125,34.72,-2.127,16.32,-1.666,20.84
130,36.11,-2.42,14.92,-1.837,19.66
135,37.5,-2.743,13.67,-2.024,18.53
140,38.89,-3.095,12.57,-2.227,17.47
145,40.28,-3.476,11.59,-2.446,16.47
150,41.67,-3.887,10.72,-2.681,15.54
155,43.06,-4.327,9.95,-2.932,14.68
160,44.44,-4.796,9.27,-3.2,13.89
165,45.83,-5.295,8.66,-3.484,13.16
170,47.22,-5.823,8.11,-3.783,12.48
175,48.61,-6.381,7.62,-4.099,11.86
180,50.0,-6.968,7.18,-4.431,11.28
185,51.39,-7.584,6.78,-4.779,10.75
190,52.78,-8.23,6.41,-5.143,10.26
195,54.17,-8.905,6.08,-5.524,9.81
200,55.56,-9.61,5.78,-5.92,9.38
205,56.94,-10.344,5.51,-6.332,8.99
